               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.020586,            0.015636,           0.0039111,             0.83065,             0.79154,             0.84542,             0.63862,            0.025597,            0.017332,            0.013626,           0.0094835,           0.0094835,           0.0094835
                  79,            0.021633,            0.016157,           0.0037924,             0.82789,             0.81659,             0.84585,             0.63644,            0.026336,            0.017216,            0.013526,           0.0094703,           0.0094703,           0.0094703
                  80,            0.019767,            0.015002,           0.0037862,             0.84795,             0.78628,             0.84798,             0.62874,            0.027184,            0.018091,            0.013611,           0.0094569,           0.0094569,           0.0094569
                  81,            0.020086,            0.013924,           0.0038993,             0.80419,             0.78634,             0.83975,              0.6166,            0.026967,            0.018041,             0.01448,           0.0094434,           0.0094434,           0.0094434
                  82,            0.019216,            0.014937,           0.0034444,             0.78183,             0.83984,              0.8267,             0.61515,            0.025821,            0.017788,            0.013395,           0.0094297,           0.0094297,           0.0094297
                  83,              0.0194,            0.013913,           0.0038095,             0.78463,             0.83243,             0.84347,             0.63018,            0.025702,            0.018683,            0.013775,           0.0094158,           0.0094158,           0.0094158
                  84,            0.020824,            0.015719,            0.003732,             0.80618,             0.78487,             0.80259,             0.58923,            0.026305,            0.018565,            0.015577,           0.0094018,           0.0094018,           0.0094018
                  85,             0.02132,             0.01515,           0.0042586,             0.75043,               0.807,             0.80046,             0.60089,            0.025089,            0.017575,            0.016687,           0.0093877,           0.0093877,           0.0093877
                  86,            0.022316,            0.015849,           0.0041904,             0.80199,             0.77963,             0.80965,             0.60289,            0.026097,            0.018042,            0.014347,           0.0093733,           0.0093733,           0.0093733
                  87,            0.019858,            0.013949,           0.0039008,             0.84077,             0.75948,             0.82251,               0.617,            0.025561,            0.017524,            0.014631,           0.0093589,           0.0093589,           0.0093589
                  88,            0.021046,             0.01521,           0.0039021,             0.82916,             0.79124,              0.8275,             0.62427,            0.025639,            0.017726,            0.014157,           0.0093442,           0.0093442,           0.0093442
                  89,            0.019534,            0.013719,           0.0034308,             0.80792,             0.76845,             0.81942,             0.61358,            0.025634,            0.019345,              0.0178,           0.0093295,           0.0093295,           0.0093295
                  90,            0.019778,            0.015076,           0.0033713,             0.82577,             0.76214,             0.83051,              0.6192,            0.025678,             0.01798,            0.015127,           0.0093146,           0.0093146,           0.0093146
                  91,            0.019381,            0.014678,           0.0036528,             0.82317,             0.72693,             0.80619,             0.60208,            0.027448,            0.019448,            0.016076,           0.0092995,           0.0092995,           0.0092995
                  92,            0.020326,            0.014737,           0.0040388,             0.80936,             0.76341,             0.81672,             0.61323,            0.025364,            0.018205,            0.020065,           0.0092843,           0.0092843,           0.0092843
                  93,            0.018929,            0.013957,           0.0041209,              0.7712,             0.78071,             0.80549,             0.60965,            0.025528,            0.017745,            0.021077,           0.0092689,           0.0092689,           0.0092689
                  94,            0.018949,            0.012954,           0.0043154,              0.8447,             0.71257,             0.80037,             0.59064,            0.028019,            0.019151,            0.020129,           0.0092534,           0.0092534,           0.0092534
                  95,            0.021401,            0.016478,           0.0049374,             0.78724,             0.78638,             0.80424,             0.60593,            0.025676,            0.018215,            0.019373,           0.0092377,           0.0092377,           0.0092377
                  96,            0.018776,            0.013558,           0.0036121,             0.81854,             0.71084,             0.81101,             0.60129,            0.026889,            0.020091,            0.019093,           0.0092219,           0.0092219,           0.0092219
