               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.02348,            0.015981,           0.0060062,             0.80617,             0.77187,               0.813,              0.6094,            0.026873,            0.017452,            0.016865,           0.0097243,           0.0097243,           0.0097243
                  58,            0.024413,            0.018482,            0.005615,             0.82916,             0.76051,             0.83227,             0.60692,            0.028275,            0.017795,            0.014498,           0.0097145,           0.0097145,           0.0097145
                  59,            0.023079,            0.018158,           0.0057635,             0.75106,             0.77214,             0.80069,             0.58355,            0.026735,             0.01746,             0.01419,           0.0097045,           0.0097045,           0.0097045
                  60,            0.023251,             0.01798,           0.0049561,             0.80349,              0.7866,              0.8414,             0.60864,             0.02713,            0.018023,            0.014782,           0.0096943,           0.0096943,           0.0096943
                  61,            0.023041,            0.016798,           0.0050792,             0.83467,             0.74513,              0.8149,             0.59761,            0.026802,            0.017874,            0.014957,            0.009684,            0.009684,            0.009684
                  62,            0.023549,            0.017926,           0.0049145,             0.77675,             0.79665,             0.83652,             0.62308,            0.025836,              0.0166,            0.014835,           0.0096735,           0.0096735,           0.0096735
                  63,             0.02416,            0.016973,           0.0049308,             0.79254,              0.7559,             0.81376,             0.58336,            0.027532,            0.017349,            0.018002,           0.0096628,           0.0096628,           0.0096628
                  64,            0.024285,            0.017188,           0.0048759,             0.83522,             0.77157,             0.83174,             0.62226,            0.026986,            0.017611,            0.015139,            0.009652,            0.009652,            0.009652
                  65,            0.022768,            0.016401,           0.0046171,             0.78631,             0.76492,             0.80893,               0.609,            0.026193,            0.016999,            0.016707,            0.009641,            0.009641,            0.009641
                  66,            0.022714,               0.017,           0.0053939,             0.81425,             0.74473,             0.80782,             0.60897,            0.025551,            0.016904,            0.017214,           0.0096299,           0.0096299,           0.0096299
                  67,            0.022961,            0.016818,           0.0051174,             0.85336,             0.68453,             0.79815,             0.59122,             0.02579,            0.017666,            0.019909,           0.0096186,           0.0096186,           0.0096186
                  68,            0.021928,            0.017521,           0.0050762,             0.81867,             0.76523,             0.81843,             0.61335,            0.026524,            0.017868,            0.016193,           0.0096071,           0.0096071,           0.0096071
                  69,             0.02213,            0.016529,           0.0045672,             0.78014,             0.75875,             0.80246,             0.59775,            0.025913,            0.017154,            0.019917,           0.0095955,           0.0095955,           0.0095955
                  70,            0.022447,            0.015506,           0.0050743,             0.80136,             0.74717,             0.81506,             0.60535,            0.027124,            0.018239,            0.017988,           0.0095837,           0.0095837,           0.0095837
                  71,            0.021722,            0.016387,           0.0043499,             0.83504,             0.76378,             0.84086,             0.62984,            0.026914,            0.017108,            0.014761,           0.0095717,           0.0095717,           0.0095717
                  72,            0.022128,            0.015699,            0.004705,             0.78205,             0.78216,             0.83575,             0.61746,            0.027242,            0.017356,            0.017374,           0.0095596,           0.0095596,           0.0095596
                  73,            0.022338,             0.01588,            0.004086,             0.79247,             0.78105,             0.82141,              0.6167,             0.02632,            0.017026,            0.016665,           0.0095473,           0.0095473,           0.0095473
                  74,            0.021361,            0.016087,           0.0048175,             0.80087,             0.80025,             0.84219,             0.63963,            0.025319,            0.017394,            0.013183,           0.0095349,           0.0095349,           0.0095349
                  75,             0.02154,            0.016302,            0.004604,             0.81282,             0.77678,             0.83949,             0.63371,            0.025769,            0.017426,            0.014514,           0.0095223,           0.0095223,           0.0095223
                  76,            0.021103,            0.015114,           0.0041376,             0.81209,             0.74778,             0.81815,             0.60379,            0.026743,            0.018516,            0.017022,           0.0095095,           0.0095095,           0.0095095
                  77,            0.021873,            0.016201,           0.0043471,             0.78917,             0.77712,             0.82188,              0.6097,            0.027549,            0.017572,            0.014655,           0.0094966,           0.0094966,           0.0094966
                  78,            0.021911,            0.016357,           0.0037964,             0.83837,             0.75353,             0.83809,             0.62276,            0.027229,            0.016762,            0.015697,           0.0094835,           0.0094835,           0.0094835
                  79,            0.022935,            0.015419,           0.0040574,             0.85294,             0.76703,             0.85959,             0.63129,            0.026489,            0.016559,            0.014735,           0.0094703,           0.0094703,           0.0094703
                  80,            0.020417,            0.014619,           0.0038849,             0.79479,             0.77061,             0.82216,             0.61202,            0.025777,            0.017194,            0.017727,           0.0094569,           0.0094569,           0.0094569
                  81,             0.02132,            0.014917,           0.0044792,              0.8334,             0.77224,             0.83692,             0.62359,            0.026117,            0.017298,            0.017955,           0.0094434,           0.0094434,           0.0094434
                  82,            0.021549,            0.015695,           0.0043366,             0.78534,             0.76912,             0.79615,             0.59436,            0.026174,            0.016505,            0.017796,           0.0094297,           0.0094297,           0.0094297
                  83,            0.021314,            0.016222,           0.0047936,             0.83617,             0.75407,             0.82042,             0.61528,            0.025595,            0.017198,            0.014692,           0.0094158,           0.0094158,           0.0094158
                  84,            0.019811,            0.016055,           0.0038888,             0.81902,             0.74017,              0.8066,             0.60844,            0.025464,            0.016637,            0.017548,           0.0094018,           0.0094018,           0.0094018
                  85,            0.022016,            0.015839,           0.0044335,             0.80361,             0.79198,              0.8378,             0.62162,            0.025871,             0.01739,            0.012865,           0.0093877,           0.0093877,           0.0093877
                  86,            0.020703,            0.016811,           0.0042399,             0.81376,             0.75332,             0.81526,             0.60287,            0.025658,            0.017329,            0.016978,           0.0093733,           0.0093733,           0.0093733
                  87,            0.021073,            0.016025,            0.004514,              0.7917,             0.78539,             0.81031,             0.59876,            0.025775,            0.017374,             0.01841,           0.0093589,           0.0093589,           0.0093589
                  88,            0.020504,            0.015413,            0.004176,             0.83007,             0.71902,             0.80085,             0.59309,            0.027475,            0.018436,            0.018974,           0.0093442,           0.0093442,           0.0093442
                  89,            0.020544,            0.015561,           0.0041412,             0.82827,             0.76374,             0.81842,             0.61156,            0.025717,            0.018393,            0.014784,           0.0093295,           0.0093295,           0.0093295
                  90,            0.021405,            0.017025,           0.0040275,              0.7609,             0.81265,             0.82633,             0.61915,            0.025749,            0.018251,            0.015684,           0.0093146,           0.0093146,           0.0093146
                  91,            0.020402,            0.014935,           0.0041032,             0.80469,             0.80718,             0.83971,             0.63295,            0.025206,            0.017309,            0.017007,           0.0092995,           0.0092995,           0.0092995
                  92,            0.019003,            0.014387,            0.003614,             0.79899,             0.77931,             0.83132,             0.62116,            0.025552,            0.017442,            0.015328,           0.0092843,           0.0092843,           0.0092843
                  93,            0.020206,            0.015712,           0.0039103,             0.82885,             0.77418,             0.84475,              0.6389,            0.025086,             0.01728,             0.01444,           0.0092689,           0.0092689,           0.0092689
                  94,            0.019886,            0.014969,           0.0035156,             0.81036,             0.76265,             0.83157,             0.62401,            0.025456,             0.01778,            0.016443,           0.0092534,           0.0092534,           0.0092534
                  95,            0.020312,            0.014349,           0.0036775,              0.7821,             0.78772,             0.83029,             0.62231,            0.026226,            0.018326,            0.016626,           0.0092377,           0.0092377,           0.0092377
                  96,            0.019363,            0.013624,           0.0034521,             0.81266,             0.75657,             0.81002,             0.60041,             0.02601,            0.019414,              0.0198,           0.0092219,           0.0092219,           0.0092219
                  97,            0.019602,            0.014239,           0.0037535,             0.81611,             0.79672,             0.82509,             0.62103,            0.025517,            0.018686,            0.014995,           0.0092059,           0.0092059,           0.0092059
                  98,            0.018308,            0.014512,           0.0035403,             0.79895,             0.80453,             0.82509,             0.62267,            0.025273,            0.018231,            0.015212,           0.0091898,           0.0091898,           0.0091898
                  99,            0.020489,            0.015452,           0.0038376,             0.81322,              0.7838,             0.81065,             0.59984,            0.025382,            0.018571,             0.01696,           0.0091735,           0.0091735,           0.0091735
                 100,            0.019688,            0.013372,           0.0031782,              0.8317,             0.75951,              0.8266,             0.61471,            0.026029,             0.01804,             0.01621,           0.0091571,           0.0091571,           0.0091571
                 101,            0.019176,            0.014425,           0.0034064,             0.80345,             0.78619,             0.83463,             0.62767,            0.025247,            0.017888,            0.017024,           0.0091406,           0.0091406,           0.0091406
                 102,            0.020993,            0.014526,           0.0038124,             0.80525,             0.74754,             0.79668,             0.59085,            0.026575,            0.018233,            0.020512,           0.0091239,           0.0091239,           0.0091239
                 103,            0.019209,            0.014062,            0.003428,              0.8162,             0.72245,             0.79675,             0.59085,            0.026034,            0.018977,            0.018364,           0.0091071,           0.0091071,           0.0091071
                 104,            0.019535,            0.014896,           0.0039062,              0.8208,             0.74544,             0.81097,             0.61263,            0.024979,            0.016997,             0.01635,           0.0090901,           0.0090901,           0.0090901
                 105,            0.019539,             0.01573,            0.003745,             0.79777,             0.75522,             0.79912,             0.59932,            0.025985,            0.020023,            0.018091,            0.009073,            0.009073,            0.009073
                 106,            0.019469,            0.013882,            0.003852,             0.73976,             0.75631,             0.77747,             0.57575,            0.027588,            0.019663,            0.019947,           0.0090557,           0.0090557,           0.0090557
                 107,            0.019316,            0.015206,              0.0038,             0.78771,             0.77945,             0.81853,             0.61309,            0.025072,            0.017871,            0.017094,           0.0090383,           0.0090383,           0.0090383
