               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.028361,            0.021398,            0.026929,             0.42405,             0.60935,             0.51027,             0.34943,            0.032277,            0.018967,            0.035138,           0.0097884,           0.0097884,           0.0097884
                  51,            0.028978,            0.022614,            0.026627,             0.42325,             0.64303,             0.51007,             0.34889,            0.031082,            0.019424,            0.036454,           0.0097798,           0.0097798,           0.0097798
                  52,            0.028287,            0.020168,            0.026062,             0.40658,             0.65873,             0.54404,             0.38282,            0.030743,            0.018359,            0.036099,           0.0097709,           0.0097709,           0.0097709
                  53,            0.028998,            0.023373,            0.023962,             0.49453,             0.57065,             0.54999,             0.37632,            0.031613,            0.018693,            0.035573,           0.0097619,           0.0097619,           0.0097619
                  54,            0.029661,            0.021484,             0.02547,             0.48135,             0.59167,             0.53942,             0.36148,            0.030705,            0.017969,             0.03399,           0.0097528,           0.0097528,           0.0097528
                  55,            0.029214,            0.022126,            0.023848,             0.43007,             0.62681,             0.52648,             0.37031,            0.029768,            0.018335,            0.035075,           0.0097435,           0.0097435,           0.0097435
                  56,            0.027234,            0.021195,            0.026729,             0.45368,              0.6033,             0.54825,             0.38704,            0.030729,            0.018969,            0.037509,            0.009734,            0.009734,            0.009734
                  57,            0.028157,            0.023587,            0.023499,             0.54224,             0.59942,             0.59162,             0.39595,            0.032091,            0.019348,            0.029807,           0.0097243,           0.0097243,           0.0097243
                  58,            0.028647,            0.021511,            0.022862,             0.49354,             0.65044,             0.59111,             0.39923,            0.031369,            0.019515,            0.032632,           0.0097145,           0.0097145,           0.0097145
                  59,            0.029717,            0.022907,             0.02207,             0.63611,             0.53893,              0.6216,             0.43224,            0.031119,            0.018825,            0.031127,           0.0097045,           0.0097045,           0.0097045
                  60,            0.029139,            0.022516,            0.020804,             0.54045,             0.66165,              0.6121,             0.43006,            0.030538,            0.019043,            0.029041,           0.0096943,           0.0096943,           0.0096943
                  61,            0.028552,            0.021861,            0.020092,             0.60058,             0.58773,             0.63637,             0.44767,            0.031145,            0.019543,            0.029085,            0.009684,            0.009684,            0.009684
                  62,            0.028047,            0.021976,             0.01867,             0.62996,             0.59707,              0.6561,             0.45952,            0.031169,            0.018398,             0.03049,           0.0096735,           0.0096735,           0.0096735
                  63,            0.028452,            0.020873,            0.019101,              0.5843,              0.5925,             0.60227,             0.41974,            0.032136,             0.01963,             0.03156,           0.0096628,           0.0096628,           0.0096628
                  64,             0.02838,            0.020793,            0.020732,             0.38661,             0.73405,             0.54019,             0.36693,            0.031978,            0.018771,            0.036023,            0.009652,            0.009652,            0.009652
                  65,            0.028662,            0.022262,             0.02326,                0.57,             0.62512,             0.61343,             0.41217,            0.032174,            0.018928,            0.028761,            0.009641,            0.009641,            0.009641
                  66,            0.028658,            0.021783,            0.021281,              0.5308,             0.68556,             0.62147,             0.44258,            0.030113,            0.018914,            0.028493,           0.0096299,           0.0096299,           0.0096299
                  67,            0.027255,             0.02203,            0.020822,             0.54909,               0.651,             0.59759,             0.42106,            0.029768,            0.018654,            0.029694,           0.0096186,           0.0096186,           0.0096186
                  68,            0.028648,            0.021414,            0.019914,             0.60906,             0.57827,             0.60343,             0.41173,            0.032945,            0.020395,            0.029262,           0.0096071,           0.0096071,           0.0096071
                  69,            0.028595,            0.021146,            0.019398,             0.58807,             0.62136,             0.63079,              0.4333,            0.032388,            0.019911,            0.027073,           0.0095955,           0.0095955,           0.0095955
                  70,            0.028673,            0.020907,            0.018556,             0.56326,             0.68883,             0.65856,             0.46711,            0.030388,            0.019399,            0.024419,           0.0095837,           0.0095837,           0.0095837
                  71,            0.027951,            0.022332,            0.017314,             0.61329,             0.65452,             0.68868,             0.48183,            0.030187,            0.018436,            0.025416,           0.0095717,           0.0095717,           0.0095717
                  72,            0.028201,            0.021233,            0.017664,             0.60054,             0.62015,             0.63094,             0.41043,             0.03479,            0.020388,            0.030166,           0.0095596,           0.0095596,           0.0095596
                  73,            0.027862,            0.021247,            0.016554,             0.65613,             0.61619,             0.68646,             0.49059,            0.030354,            0.018591,            0.026558,           0.0095473,           0.0095473,           0.0095473
                  74,            0.028537,            0.020834,            0.016184,             0.64608,             0.59405,             0.64311,             0.45373,            0.031886,            0.019404,            0.034012,           0.0095349,           0.0095349,           0.0095349
                  75,             0.02814,            0.019691,            0.016393,             0.61819,             0.65789,             0.67295,             0.44946,            0.032825,            0.019334,            0.023051,           0.0095223,           0.0095223,           0.0095223
                  76,            0.028336,            0.022258,             0.01551,             0.61855,             0.68746,             0.69593,             0.48191,            0.031683,            0.019753,             0.02312,           0.0095095,           0.0095095,           0.0095095
                  77,            0.027792,            0.021008,            0.016376,             0.64343,             0.55924,             0.63897,             0.43669,            0.032962,            0.019825,            0.027593,           0.0094966,           0.0094966,           0.0094966
                  78,            0.026835,            0.021097,            0.016202,             0.67198,             0.58315,             0.68604,             0.46314,            0.033618,             0.01975,            0.026785,           0.0094835,           0.0094835,           0.0094835
                  79,            0.027758,            0.021779,             0.01632,             0.65526,             0.60169,             0.67243,             0.46717,            0.031432,            0.019673,            0.026451,           0.0094703,           0.0094703,           0.0094703
                  80,            0.026879,             0.01997,            0.014458,             0.63127,             0.63659,             0.68039,             0.50131,            0.029923,            0.018524,             0.02549,           0.0094569,           0.0094569,           0.0094569
                  81,            0.026915,            0.021883,             0.01443,             0.61377,               0.668,             0.68382,             0.48201,               0.032,            0.020021,            0.025075,           0.0094434,           0.0094434,           0.0094434
                  82,            0.026485,            0.019971,            0.013135,              0.6512,             0.66168,              0.7075,             0.50551,            0.030667,            0.018813,             0.02339,           0.0094297,           0.0094297,           0.0094297
                  83,            0.026181,            0.021225,            0.011919,             0.69884,             0.60249,             0.69618,             0.48856,            0.030945,            0.020545,            0.022065,           0.0094158,           0.0094158,           0.0094158
                  84,            0.028703,            0.021875,            0.013835,             0.68432,             0.63602,             0.70473,             0.48435,             0.03038,            0.018714,            0.028528,           0.0094018,           0.0094018,           0.0094018
                  85,            0.026541,            0.021904,             0.01278,             0.68276,             0.59494,             0.66262,              0.4778,            0.029805,            0.018674,            0.027655,           0.0093877,           0.0093877,           0.0093877
                  86,            0.026513,            0.020686,            0.012409,             0.65799,             0.63551,              0.7107,             0.50659,            0.030865,            0.019278,            0.023589,           0.0093733,           0.0093733,           0.0093733
