               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.026678,            0.020845,           0.0092631,             0.78143,              0.6724,             0.75846,             0.55638,            0.027988,            0.019124,            0.021739,           0.0098133,           0.0098133,           0.0098133
                  48,            0.026709,            0.019253,           0.0086739,             0.74344,              0.6861,             0.73151,             0.51986,            0.028241,            0.019384,            0.023158,           0.0098052,           0.0098052,           0.0098052
                  49,            0.026115,            0.019408,           0.0083786,              0.6933,              0.7237,             0.73578,             0.53395,            0.027407,            0.019312,            0.021366,           0.0097969,           0.0097969,           0.0097969
                  50,             0.02575,            0.020809,           0.0082321,             0.79943,             0.68745,             0.78853,             0.56774,            0.028385,            0.017546,            0.019796,           0.0097884,           0.0097884,           0.0097884
                  51,            0.025263,            0.018385,           0.0081671,             0.79331,             0.70747,             0.79131,             0.57362,            0.027909,            0.018128,            0.021076,           0.0097798,           0.0097798,           0.0097798
                  52,            0.023902,            0.018853,           0.0077527,             0.75825,             0.73458,             0.78055,             0.57813,            0.026393,             0.01702,            0.019523,           0.0097709,           0.0097709,           0.0097709
                  53,            0.024353,            0.019629,           0.0065482,             0.76537,             0.68197,             0.76712,             0.56443,            0.027502,            0.017942,            0.023708,           0.0097619,           0.0097619,           0.0097619
                  54,            0.025494,            0.019813,           0.0063967,             0.76182,             0.71822,             0.78862,             0.56621,            0.027866,            0.017942,            0.021659,           0.0097528,           0.0097528,           0.0097528
                  55,            0.025436,            0.019451,           0.0067499,             0.73919,             0.72648,             0.77455,             0.55435,            0.028026,            0.018222,            0.021699,           0.0097435,           0.0097435,           0.0097435
                  56,            0.025575,            0.018943,           0.0076366,             0.75867,             0.68488,             0.76679,             0.56204,            0.029066,             0.01782,            0.022551,            0.009734,            0.009734,            0.009734
                  57,            0.024577,            0.019063,           0.0065442,             0.73221,             0.76364,             0.79141,             0.54749,            0.029114,            0.017437,            0.017532,           0.0097243,           0.0097243,           0.0097243
                  58,            0.024797,            0.018018,           0.0071509,             0.78061,             0.76399,             0.81008,             0.59105,            0.027947,            0.017695,            0.014909,           0.0097145,           0.0097145,           0.0097145
                  59,            0.023504,            0.018792,           0.0069395,             0.74643,             0.74894,             0.78775,             0.56643,             0.02777,            0.017336,            0.020865,           0.0097045,           0.0097045,           0.0097045
                  60,            0.024427,            0.017672,           0.0068083,             0.73539,             0.69072,             0.76091,             0.56459,            0.027422,            0.018474,            0.023387,           0.0096943,           0.0096943,           0.0096943
                  61,            0.024499,             0.01936,            0.006641,             0.80288,             0.69266,              0.7935,             0.58432,            0.027085,            0.017336,            0.019377,            0.009684,            0.009684,            0.009684
                  62,            0.023588,            0.016767,           0.0063057,             0.77305,             0.70484,             0.77921,             0.57305,            0.028104,            0.018283,            0.021009,           0.0096735,           0.0096735,           0.0096735
                  63,            0.024931,            0.020391,           0.0066078,             0.78253,             0.71285,             0.77687,             0.56552,             0.02847,            0.018626,            0.019757,           0.0096628,           0.0096628,           0.0096628
                  64,             0.02476,             0.01891,           0.0066791,             0.77965,             0.71569,              0.7741,             0.56032,            0.028388,            0.018378,            0.020053,            0.009652,            0.009652,            0.009652
                  65,            0.022976,            0.017266,           0.0055702,             0.77841,             0.74289,              0.7863,              0.5797,            0.026708,            0.017923,            0.019206,            0.009641,            0.009641,            0.009641
                  66,            0.024358,            0.017379,           0.0060675,             0.78185,             0.77363,              0.8082,             0.59203,            0.028697,            0.018569,            0.016968,           0.0096299,           0.0096299,           0.0096299
                  67,            0.025026,            0.018141,           0.0058752,             0.78328,             0.71427,             0.77953,             0.56557,            0.027571,             0.01929,            0.017941,           0.0096186,           0.0096186,           0.0096186
                  68,            0.023924,            0.017844,           0.0057978,             0.78297,             0.72524,             0.78651,             0.58602,            0.026408,            0.018356,            0.017559,           0.0096071,           0.0096071,           0.0096071
                  69,            0.024666,            0.018432,           0.0060545,             0.76017,              0.7454,             0.77649,             0.56886,            0.026939,            0.018692,            0.017684,           0.0095955,           0.0095955,           0.0095955
                  70,             0.02285,            0.018382,           0.0054572,             0.79706,             0.78558,             0.82584,              0.6052,            0.028117,            0.018519,            0.014558,           0.0095837,           0.0095837,           0.0095837
                  71,            0.023876,            0.017541,           0.0050966,             0.81355,             0.75323,             0.81888,             0.60507,            0.026762,            0.017682,            0.015959,           0.0095717,           0.0095717,           0.0095717
                  72,            0.023039,            0.017172,           0.0053213,             0.76742,             0.80061,             0.83217,             0.60267,            0.026974,             0.01751,            0.016315,           0.0095596,           0.0095596,           0.0095596
                  73,             0.02224,            0.017635,           0.0046314,             0.80577,              0.7148,              0.8063,             0.59623,            0.026909,            0.017108,            0.018875,           0.0095473,           0.0095473,           0.0095473
                  74,            0.022906,            0.017137,           0.0044071,             0.75869,              0.7951,             0.81811,             0.61098,            0.026271,             0.01676,            0.016084,           0.0095349,           0.0095349,           0.0095349
                  75,            0.022869,            0.016718,           0.0052883,             0.81262,             0.71907,             0.81157,             0.60577,            0.026693,            0.018407,            0.016472,           0.0095223,           0.0095223,           0.0095223
                  76,             0.02334,            0.018329,           0.0053013,             0.84929,             0.73652,             0.80872,             0.60039,            0.027137,            0.018781,            0.016366,           0.0095095,           0.0095095,           0.0095095
                  77,            0.023633,             0.01823,            0.005314,             0.80258,             0.74354,             0.80837,             0.60529,            0.026592,            0.018011,            0.017874,           0.0094966,           0.0094966,           0.0094966
                  78,            0.022661,            0.015711,           0.0053347,             0.77257,             0.76689,             0.81472,             0.59702,            0.026962,            0.018108,            0.016765,           0.0094835,           0.0094835,           0.0094835
                  79,            0.021851,            0.016108,            0.004714,              0.7676,             0.76936,             0.79769,             0.58682,            0.027297,            0.016975,            0.016159,           0.0094703,           0.0094703,           0.0094703
                  80,            0.021295,             0.01753,           0.0048987,             0.79587,             0.72757,             0.78895,             0.58765,            0.026316,            0.017407,            0.021863,           0.0094569,           0.0094569,           0.0094569
                  81,            0.021556,            0.016377,           0.0040673,             0.75009,             0.72857,             0.77958,             0.56915,            0.027133,            0.017603,            0.019735,           0.0094434,           0.0094434,           0.0094434
                  82,            0.021982,            0.016898,           0.0063941,             0.79377,              0.7204,              0.7999,             0.59227,            0.027251,            0.017817,            0.017037,           0.0094297,           0.0094297,           0.0094297
                  83,            0.022794,            0.017616,           0.0059186,             0.76494,             0.75363,             0.81149,             0.60459,            0.026455,            0.017071,            0.019841,           0.0094158,           0.0094158,           0.0094158
                  84,            0.021177,              0.0161,           0.0052146,             0.80288,              0.6916,             0.78918,                0.59,            0.026101,             0.01747,            0.019929,           0.0094018,           0.0094018,           0.0094018
                  85,            0.021007,            0.016524,           0.0047726,             0.73854,              0.7778,             0.79609,             0.59604,            0.026229,            0.017381,            0.017501,           0.0093877,           0.0093877,           0.0093877
                  86,            0.022302,            0.017865,             0.00565,             0.77309,             0.77181,             0.79602,             0.58736,            0.026998,            0.017916,            0.016553,           0.0093733,           0.0093733,           0.0093733
                  87,            0.021008,            0.016345,            0.005047,             0.79213,             0.77774,             0.82226,             0.61882,            0.026344,            0.017937,            0.015573,           0.0093589,           0.0093589,           0.0093589
                  88,             0.02214,            0.016552,           0.0056631,              0.8431,             0.69794,             0.80894,             0.59708,            0.027035,            0.017623,            0.020699,           0.0093442,           0.0093442,           0.0093442
                  89,            0.020479,             0.01533,           0.0053633,             0.79278,             0.73725,             0.80174,               0.607,            0.025737,            0.017716,            0.019151,           0.0093295,           0.0093295,           0.0093295
                  90,            0.021215,            0.016679,           0.0052305,             0.83184,             0.71318,             0.80319,             0.60214,            0.026034,            0.017662,            0.018094,           0.0093146,           0.0093146,           0.0093146
                  91,              0.0216,            0.015739,           0.0042421,             0.74745,             0.74104,             0.78428,             0.58347,            0.026546,            0.018308,            0.019513,           0.0092995,           0.0092995,           0.0092995
                  92,            0.020796,            0.016002,           0.0049846,             0.77585,             0.77249,             0.80569,             0.60106,            0.026463,             0.01795,            0.017614,           0.0092843,           0.0092843,           0.0092843
                  93,            0.021186,            0.016118,           0.0046428,             0.79168,              0.7567,             0.78832,             0.58727,            0.027006,            0.018572,            0.017139,           0.0092689,           0.0092689,           0.0092689
                  94,            0.021409,            0.016785,           0.0043955,              0.8158,             0.78072,             0.81334,             0.60072,            0.026839,            0.018962,            0.014075,           0.0092534,           0.0092534,           0.0092534
                  95,            0.020823,            0.015014,            0.004132,             0.83894,             0.73797,             0.82229,             0.61876,            0.026066,            0.018117,            0.015884,           0.0092377,           0.0092377,           0.0092377
                  96,            0.020424,            0.015629,           0.0040057,             0.77486,             0.77658,             0.79774,             0.59153,             0.02662,            0.018946,            0.016297,           0.0092219,           0.0092219,           0.0092219
                  97,            0.021353,            0.015486,           0.0038311,             0.78712,             0.74801,             0.80275,             0.60651,            0.026264,            0.018372,            0.017192,           0.0092059,           0.0092059,           0.0092059
                  98,             0.02119,            0.015026,           0.0042158,             0.84382,             0.74512,             0.82146,             0.61071,            0.026484,            0.018721,            0.013746,           0.0091898,           0.0091898,           0.0091898
                  99,            0.021945,            0.016031,           0.0044533,             0.78464,             0.78153,             0.82102,             0.61513,            0.025916,             0.01714,            0.016119,           0.0091735,           0.0091735,           0.0091735
                 100,            0.020056,            0.015408,           0.0041307,             0.76371,             0.77021,             0.79359,             0.58503,            0.026604,            0.018296,            0.021315,           0.0091571,           0.0091571,           0.0091571
                 101,            0.021097,            0.015444,           0.0038469,             0.85248,             0.73489,             0.82052,             0.60247,             0.02614,            0.017595,            0.014624,           0.0091406,           0.0091406,           0.0091406
                 102,            0.020915,            0.015859,           0.0044748,              0.8042,             0.70629,             0.79568,             0.59563,            0.025996,            0.018054,            0.020935,           0.0091239,           0.0091239,           0.0091239
                 103,            0.019583,            0.015964,           0.0038348,              0.8239,             0.73508,             0.81855,             0.61476,            0.026309,            0.017888,            0.016056,           0.0091071,           0.0091071,           0.0091071
                 104,            0.020752,             0.01493,            0.004199,             0.81618,             0.74584,              0.8113,             0.60183,            0.025965,            0.018361,            0.015914,           0.0090901,           0.0090901,           0.0090901
                 105,            0.020113,            0.015722,           0.0038129,             0.79436,             0.76645,             0.81436,             0.60153,            0.027416,            0.018251,            0.017437,            0.009073,            0.009073,            0.009073
                 106,            0.019721,            0.015138,           0.0034939,             0.74587,             0.77277,             0.79971,              0.5921,            0.026694,            0.018307,            0.019006,           0.0090557,           0.0090557,           0.0090557
                 107,            0.019924,            0.015915,           0.0036602,              0.7914,             0.74802,             0.82287,             0.60795,            0.026134,            0.019239,            0.015876,           0.0090383,           0.0090383,           0.0090383
                 108,            0.020419,              0.0161,           0.0037536,             0.76992,             0.75383,             0.79994,             0.59412,            0.026143,             0.01829,            0.020776,           0.0090208,           0.0090208,           0.0090208
                 109,            0.020079,             0.01661,           0.0038628,             0.82169,             0.71288,             0.80677,              0.6036,            0.026259,            0.018438,            0.019371,           0.0090031,           0.0090031,           0.0090031
                 110,             0.02046,            0.014913,           0.0038151,             0.82226,             0.76213,             0.82792,             0.61478,            0.025943,             0.01795,             0.01703,           0.0089853,           0.0089853,           0.0089853
                 111,            0.019212,            0.014282,           0.0039856,             0.82161,              0.7195,             0.81263,             0.60038,            0.027074,            0.018282,             0.01721,           0.0089673,           0.0089673,           0.0089673
                 112,            0.019786,            0.014703,           0.0038089,             0.77687,             0.76542,             0.80901,              0.6045,            0.026867,            0.018833,            0.017214,           0.0089492,           0.0089492,           0.0089492
                 113,            0.019427,            0.014993,           0.0037304,             0.79697,             0.74391,             0.81575,              0.6049,             0.02576,            0.018346,            0.023634,            0.008931,            0.008931,            0.008931
                 114,            0.019333,            0.014391,           0.0031852,             0.82271,             0.76063,             0.82848,             0.62163,            0.025989,            0.018528,             0.01536,           0.0089126,           0.0089126,           0.0089126
                 115,            0.019416,             0.01543,           0.0035358,             0.84237,             0.75114,              0.8215,             0.61087,            0.025857,            0.018524,            0.016812,           0.0088941,           0.0088941,           0.0088941
                 116,            0.019882,            0.015475,           0.0033118,             0.82527,             0.75667,             0.82052,             0.61185,            0.025323,            0.018128,            0.018483,           0.0088755,           0.0088755,           0.0088755
                 117,            0.018814,             0.01429,           0.0035936,             0.83219,             0.72266,             0.82304,             0.61891,            0.025116,            0.017407,            0.017413,           0.0088567,           0.0088567,           0.0088567
                 118,            0.018667,            0.014486,            0.003487,             0.80218,             0.76346,              0.8304,             0.62382,            0.025627,            0.017992,            0.017855,           0.0088378,           0.0088378,           0.0088378
                 119,            0.019678,            0.014089,           0.0035467,             0.83314,             0.76092,             0.82251,             0.61323,            0.025874,            0.018233,            0.016233,           0.0088188,           0.0088188,           0.0088188
                 120,            0.020572,            0.015636,            0.003939,             0.81324,             0.76067,              0.8135,             0.61322,            0.026011,            0.018336,             0.01706,           0.0087996,           0.0087996,           0.0087996
                 121,            0.017664,            0.014461,           0.0031518,              0.7859,             0.76722,              0.7999,             0.60027,            0.026351,            0.018894,            0.017754,           0.0087804,           0.0087804,           0.0087804
                 122,            0.019499,            0.016573,             0.00373,             0.82293,             0.74072,             0.81779,              0.6126,            0.025995,            0.018753,            0.018142,           0.0087609,           0.0087609,           0.0087609
                 123,            0.019708,            0.015227,           0.0032341,             0.80157,             0.76208,             0.82265,             0.61634,             0.02556,             0.01841,            0.019952,           0.0087414,           0.0087414,           0.0087414
                 124,            0.018281,            0.013402,           0.0033196,              0.8136,             0.74787,             0.79617,             0.59543,            0.025706,            0.018461,            0.018793,           0.0087217,           0.0087217,           0.0087217
                 125,            0.018679,            0.015235,           0.0036645,             0.80509,             0.75149,             0.78971,             0.58661,            0.025931,            0.019406,            0.018398,           0.0087019,           0.0087019,           0.0087019
                 126,            0.018263,            0.014248,            0.003091,             0.79295,             0.75755,             0.81166,             0.60169,            0.027154,              0.0193,            0.018437,            0.008682,            0.008682,            0.008682
                 127,            0.019864,            0.015368,           0.0033797,             0.80951,             0.80252,             0.83024,              0.6219,            0.026041,            0.018562,            0.015589,           0.0086619,           0.0086619,           0.0086619
                 128,            0.019743,            0.015114,           0.0034064,             0.80851,             0.79881,             0.82053,             0.61861,            0.025604,             0.01859,            0.014749,           0.0086417,           0.0086417,           0.0086417
                 129,            0.019077,            0.015031,           0.0035362,             0.83572,             0.75471,             0.82188,              0.6114,            0.026108,            0.019152,            0.016443,           0.0086214,           0.0086214,           0.0086214
                 130,            0.019047,            0.014654,           0.0034251,             0.76912,             0.77912,             0.81404,             0.61115,            0.026347,            0.018687,            0.018707,            0.008601,            0.008601,            0.008601
                 131,            0.019001,            0.014276,           0.0033329,             0.75014,             0.79086,             0.80265,              0.6078,            0.026081,            0.018424,            0.018017,           0.0085805,           0.0085805,           0.0085805
                 132,            0.018079,            0.013646,           0.0033459,             0.77135,             0.77345,             0.80364,             0.60884,            0.026252,            0.018973,            0.017831,           0.0085598,           0.0085598,           0.0085598
                 133,            0.018256,            0.014164,           0.0035739,             0.77794,             0.78612,             0.80098,             0.60232,            0.026104,            0.019649,            0.017889,            0.008539,            0.008539,            0.008539
                 134,            0.018772,             0.01407,           0.0031667,             0.76285,             0.79618,             0.80071,              0.6065,            0.026391,            0.019502,            0.020319,           0.0085181,           0.0085181,           0.0085181
                 135,            0.017891,            0.013953,           0.0034884,             0.81579,             0.75653,             0.81026,             0.61678,            0.025989,            0.019833,            0.017918,           0.0084971,           0.0084971,           0.0084971
                 136,            0.017771,            0.013971,           0.0030313,             0.82438,             0.73238,             0.81019,             0.61171,            0.025772,            0.019766,            0.017653,           0.0084759,           0.0084759,           0.0084759
                 137,            0.018699,            0.014573,           0.0032664,             0.81811,             0.73054,             0.80353,             0.60393,            0.025797,            0.019042,            0.018481,           0.0084546,           0.0084546,           0.0084546
                 138,            0.017926,            0.013855,           0.0033095,             0.80564,             0.76559,             0.80339,             0.60579,            0.025794,            0.019991,            0.017141,           0.0084333,           0.0084333,           0.0084333
                 139,            0.016992,            0.015006,            0.002813,             0.78758,             0.76876,             0.81476,             0.62071,            0.025564,            0.019095,            0.016748,           0.0084118,           0.0084118,           0.0084118
                 140,            0.018124,            0.013859,           0.0030515,             0.77284,             0.76469,             0.81805,             0.61404,            0.025764,            0.018497,            0.017211,           0.0083901,           0.0083901,           0.0083901
                 141,            0.018218,            0.014498,           0.0030546,             0.77824,             0.76563,             0.80821,             0.60333,            0.026233,            0.018593,            0.017841,           0.0083684,           0.0083684,           0.0083684
                 142,            0.018821,            0.014394,            0.003078,             0.77871,             0.78371,             0.81374,             0.61539,            0.025635,            0.018914,            0.016409,           0.0083466,           0.0083466,           0.0083466
                 143,            0.018332,            0.013958,           0.0029367,             0.79838,             0.78078,             0.79911,             0.60364,              0.0262,            0.019488,            0.015608,           0.0083246,           0.0083246,           0.0083246
                 144,            0.017191,            0.013643,           0.0028193,             0.81012,             0.74449,             0.80088,             0.60649,            0.025794,            0.018776,            0.017944,           0.0083025,           0.0083025,           0.0083025
